ꭰ	a
ꭰꭶꮝꭼ	aɡasɡə̃
ꭰꮅꮵꮅꮿ	alizilia
ꭰꮒꭺꮃ	aniɡola
ꭰꮒꮩꮃ	anidola
ꭰꮒꮫꮵ	anidə̃tsi
ꭰꮟꮅꮖꮜꮒ	asilikʷasani
ꭰꮸꮿ	atsə̃ja
ꭱ	e
ꭱꮃꮧꮭ	eladitɬa
ꭱꮝꮩꮒꮿ	esdonia
ꭲ	i
ꭳ	o
ꭳꭷꮃꮀꮉ	òkàlàhǒːmã́
ꭳꮟᏺ	oː˨si˧jo˧˨
ꭳꮟᏻ	oʃiːju
ꭴ	u
ꭴꮔꮃ	unula
ꭵ	ə̃
ꭶ	ɡa
ꭶꮈꮵᏹ	ɡɐlə̃tsiji
ꭷ	kʰa
ꭷꮼꮔ	kʰaɰonu
ꭸ	ɡe
ꭹ	ɡi
ꭹꮅꮟᏺ	ɡilisiyo
ꭺ	ɡo
ꭺꭲꭿ	ɡoihi
ꭻ	ɡu
ꭼ	ɡə̃
ꭼꮎ	kə̃na
ꭼꮒ	kə̃ni
ꭽ	ha
ꭾ	he
ꭿ	hi
ꮀ	ho
ꮁ	hu
ꮂ	hə̃
ꮃ	la
ꮄ	le
ꮅ	li
ꮆ	lo
ꮆꮉꮒꮿ	lomaːnija
ꮇ	lu
ꮈ	lə̃
ꮉ	ma
ꮊ	me
ꮋ	mi
ꮌ	mo
ꮍ	mu
ꮎ	na
ꮏ	n̥a
ꮐ	nah
ꮑ	ne
ꮒ	ni
ꮓ	no
ꮔ	nu
ꮕ	nə̃
ꮖ	kʷʰa
ꮖꮎ	kʷʰana
ꮖꮕ	kʷʰanə̃
ꮗ	kʷʰe
ꮗꮃꮇꮝ	kʷelalus
ꮘ	kʷʰi
ꮙ	kʷʰo
ꮚ	kʷʰu
ꮚꮅꭸꮅꭰ	kʷuliɡeliʔa
ꮛ	kʷʰə̃
ꮜ	sa
ꮝ	s
ꮞ	se
ꮟ	si
ꮟᏺ	si˨jo˧˨
ꮟᏺ	ʃiːjo
ꮠ	so
ꮡ	su
ꮡꮧ	súhti
ꮢ	sə̃
ꮣ	da
ꮣꮅꮖ	dàlíɡʷã́
ꮣꮆꮒꭸꮝꮫ	daloniɡezdə̃
ꮤ	tʰa
ꮥ	de
ꮦ	tʰe
ꮧ	di
ꮨ	tʰi
ꮩ	do
ꮪ	du
ꮫ	də̃
ꮬ	dɮa
ꮬꮊꭽ	dɮameha
ꮭ	tɬa
ꮮ	tɬe
ꮯ	tɬi
ꮰ	tɬo
ꮱ	tɬu
ꮲ	tɬə̃
ꮳꮃꭹ	dʒɑlɑɡî
ꮳꮖꮒᏹ	tsakʷaniji
ꮷꮑꮝꮣꮈꭿ	səʊnezdɑlvi
ꮹꮵ	ɰatsi
ᏽ	mə̃
