"být	biːt
"královská	kraːlovskaː
-al	al
-as	ˈas
-ař	ar̝
-ctvo	tstvo
-dlo	dlo
-ický	ɪtskiː
-ium	ɪjum
-ička	ɪtʃka
-jedy	jɛdɪ
-ka	ka
-krát	kraːt
-li	lɪ
-lis	lɪs
-na	na
-né	nɛː
-ní	niː
-o	o
-ol	ol
-ost	ost
-ovec	ovɛts
-ovka	ofka
-ovné	ovnɛː
-plný	plniː
-sko	sko
-ský	skiː
-stvo	stvo
-stvo	tstvo
-ství	stviː
-tel	tɛl
-yl	ɪl
-ák	aːk
-át	aːt
-ář	aːr̝
-ýr	iːr
-č	tʃ
-čtina	tʃcɪna
-ština	ʃcɪna
-ův	uːf
@	ʔɛt
a	a
aachen	aːxɛn
aachene	aːxɛnɛ
aachenem	aːxɛnɛm
aachenský	aːxɛnskiː
aachenu	aːxɛnu
aacích	aːtsiːx
aak	aːk
aakem	aːkɛm
aaku	aːku
aaky	aːkɪ
aaků	aːkuː
aakům	aːkuːm
aamu	aːmu
ab	ˈap
ab-	ap
abace	abatsɛ
abacích	ˈabatsiːx
abadon	ˈabadon
abak	ʔabak
abaka	ˈabaka
abakami	abakamɪ
abakem	abakɛm
abako	ˈabako
abakou	abakou
abakoví	ˈabakˌoviː
abakový	ˈabakˌoviː
abaku	ˈabaku
abakus	ˈabakus
abaky	abakɪ
abakách	ˈabakaːx
abakám	ˈabakaːm
abaků	ˈabakuː
abakům	ˈabakuːm
abald	ˈabalt
abalda	ˈabalda
abaldami	abaldamɪ
abaldo	ˈabaldo
abaldou	abaldou
abaldu	ˈabaldu
abaldy	abaldɪ
abaldách	ˈabaldaːx
abaldám	ˈabaldaːm
abaldě	abalɟɛ
abalienace	abalɪjɛnatsɛ
abalienacemi	abalɪjɛnatsɛmɪ
abalienaci	abalɪjɛnatsɪ
abalienací	abalɪjɛnatsiː
abalienacích	abalɪjɛnatsiːx
abalienacím	abalɪjɛnatsiːm
abandonování	ʔabandonovaːɲiː
abandonováních	ˈabandˌonovˌaːɲiːx
abandonováním	ˈabandˌonovˌaːɲiːm
abandonováními	abandonovaːɲiːmɪ
abas	ˈabas
abatyše	abatɪʃɛ
abatyšemi	ʔabatɪʃɛmɪ
abatyši	abatɪʃɪ
abatyšský	abatɪʃskiː
abatyší	abatɪʃiː
abatyších	abatɪʃiːx
abatyším	abatɪʃiːm
abaxiální	abaksɪjaːlɲiː
abazštin	abasʃcɪn
abazština	abasʃcɪna
abazštinami	abasʃcɪnamɪ
abazštino	abasʃcɪno
abazštinou	abasʃcɪnou
abazštinu	abasʃcɪnu
abazštiny	abasʃcɪnɪ
abazštinách	abasʃcɪnaːx
abazštinám	abasʃcɪnaːm
abazštině	abasʃcɪɲɛ
abbozzo	ʔabotso
abbé	abɛː
abbéech	abɛːɛx
abbého	abɛːɦo
abbém	abɛːm
abbému	abɛːmu
abbéovský	ʔabɛːofskiː
abbéové	abɛːovɛː
abbéy	abɛːjɪ
abbéů	abɛːuː
abbéům	abɛːuːm
abchazský	ˈapxasskiː
abchazštin	apxasʃcɪn
abchazština	apxasʃcɪna
abchazštinami	apxasʃcɪnamɪ
abchazštino	apxasʃcɪno
abchazštinou	apxasʃcɪnou
abchazštinu	apxasʃcɪnu
abchazštiny	apxasʃcɪnɪ
abchazštinách	apxasʃcɪnaːx
abchazštinám	apxasʃcɪnaːm
abchazštině	apxasʃcɪɲɛ
abcházie	apxaːzɪɛ
abcházii	apxaːzɪjɪ
abcházií	apxaːzɪjiː
abcházsky	ʔapxaːskɪ
abcházštin	apxaːsʃcɪn
abcházština	apxaːsʃcɪna
abcházštinami	apxaːsʃcɪnamɪ
abcházštino	apxaːsʃcɪno
abcházštinou	apxaːsʃcɪnou
abcházštinu	apxaːsʃcɪnu
abcházštiny	apxaːsʃcɪnɪ
abcházštinách	apxaːsʃcɪnaːx
abcházštinám	apxaːsʃcɪnaːm
abcházštině	apxaːsʃcɪɲɛ
abdikace	abdɪkatsɛ
abdikacemi	abdɪkatsɛmɪ
abdikaci	abdɪkatsɪ
abdikací	abdɪkatsiː
abdikacích	abdɪkatsiːx
