ئاسن	ʔaːsn
ئاشتی	ʔaːʃtiː
ئافرەت	ʔaːfɾat
ئاوی	ʔaːwiː
ئاپارتمان	ʔaːpaːɾtmaːn
ئاڵا	ʔaːɫaː
ئۆقیانووس	ʔo̞ːqjaːnuːs
ئێران	ʔe̞ːɾaːn
ئێرانی	ʔe̞ːɾaːniː
ئێسک	ʔe̞ːsk
ئێمە	eːmæ
ئێوارە	ewaːræ
ئێوە	eːwæ
ئەحمەد	ahmad
ئەحمەد	aħmad
ئەرمەن	ʔaɾman
ئەرمەنی	ʔaɾmaniː
ئەستەمبوڵ	ʔastambʊɫ
ئەسپ	ʔasp
ئەشکەوت	ʔaʃkau̯t
ئەلفوبێ	ʔalfʊbe̞ː
ئەندازە	ʔandaːza
ئەو	æw
ئەژنۆ	ʔaʒno̞ː
با	baː
بادەم	baːdam
باش	baːʃ
باوک	baːu̯k
باوێشک	baːwe̞ːʃk
باڵ	baːɫ
برووسکە	bɾuːska
برژانگ	bəɾʒaːŋg
برۆ	bɾo̞ː
بلیمەت	bliːmat
بنێشت	bne̞ːʃt
بنەوشە	bənawʃa
بوومەلێڵ	buːmale̞ːɫ
بوومەلەرزە	buːmalaɾza
بۆب	bo̞ːb
بۆق	bo̞ːq
بۆمبا	bo̞ːmbaː
بۆن	bo̞ːn
بیست	biːst
بێ	be
بێژنگ	be̞ːʒnəg
بەرد	baɾd
بەردەستێ	baɾdaste̞ː
بەرپرسایەتی	baɾpəɾsaːjɛtiː
بەش	baʃ
بەفر	bæfɾ
بەنداو	bandaːu̯
بەڕوو	baruː
تاڤگە	taːvga
تاڵ	taːɫ
تر	tɪɾ
ترین	tɪɾin
ترێ	tɾe̞ː
توانا	twaːnaː
توو	tuː
توور	tuːɾ
تووک	tuːk
تۆ	toː
تۆو	toːu̯
تیمساح	tiːmsaːħ
تەماتە	tamaːta
تەواو	tawaːw
جامعە	dʒaːməʕa
جاڵجاڵۆکە	dʒaːɫdʒaːɫo̞ːka
جوو	dʒuː
جووتیار	dʒuːtjaːɾ
حەلەب	ħalab
حەوت	ħawt
حەڤدە	ħavda
خاس	χɑːs
خاڵ	xaːɫ
خاڵخاڵۆکە	xaːɫxaːɫo̞ːka
خشۆک	xʃo̞ːk
خوا	xwaː
خوری	xʊɾiː
خوێن	xwe̞ːn
خۆڵەمێشی	xo̞ːɫame̞ːʃiː
خەمۆکی	xamo̞ːciː
خەون	xau̯n
دارستان	daːɾəstaːn
دایک	daːi̯k
ددان	ddaːn
دوانزە	dəwaːnza
دوو	duː
دڕک	dərk
دڵ	dəɫ
دڵۆپ	dɫo̞ːp
دۆژە	do̞ːʒa
دۆڵ	do̞ːɫ
دیوار	diːwaːɾ
دە	da
دەرگا	dargaː
دەم	dam
دەنووک	danuːk
زانست	zaːnsət
زانستگە	zaːnəstga
زمان	zmaːn
زه‌نجه‌فیل	zandʒafiːl
زیو	ziːu̯
زێڕ	ze̞ːr
زێڕنگەر	ze̞ːrəŋgaɾ
زێڕین	ze̞ːriːn
زەرد	zaɾd
زەریا	zaɾjaː
زەریاچە	zaɾjaːtʃa
زەوی	zawiː
زەڕافە	zaraːfa
سبەی	sbɛi̯
سلام	sælaːm
سلێمانی	sɪleːmɑːniː
سوور	suːɾ
سپی	spiː
سپیدار	spiːdaːɾ
سڕ	sər
سڵاو	səɫaːw
سیانزە	səjaːnza
سێ	seː
سێگۆشە	se̞ːgo̞ːʃa
سەد	sad
سەلام	sælaːm
سەوز	sau̯z
سەگ	sag
سەھۆڵ	saho̞ːɫ
شان	ʃaːn
شانزە	ʃaːnza
شوان	ʃwaːn
شوقە	ʃuqa
شووتی	ʃuːtiː
شووشە	ʃuːʃa
شین	ʃiːn
شێت	ʃe̞ːt
شێر	ʃe̞ːɾ
شێو	ʃeːu̯
شەش	ʃaʃ
شەو	ʃau̯
شەڕ	ʃar
شەکر	ʃakəɾ
عێراق	ʕe̞ːɾaːq
عەشق	ʔaʃq
عەشق	ʕaʃq
عەیب	ʕɛi̯b
فافۆن	faːfo̞ːn
فرمێسک	fəɾme̞ːsk
فڕۆکە	fro̞ːka
فڕۆکەخانە	fro̞ːkaxaːna
فیزیک	fiːziːk
فیل	fiːl
قاز	qaːz
قاوەیی	qaːwajiː
قسڵ	qəsɫ
قووڵ	quːɫ
قەڵخان	qaɫxaːn
لووت	luːt
لێو	leːu̯
لەبن	labən
م	mə
مارمێلکە	maːɾme̞ːlka
مازوو	maːzuː
ماستاو	maːstaːu̯
ماسوولکە	maːsuːlka
ماسی	maːsiː
مامر	maːməɾ
مانگ	maːŋg
مانگا	maːŋgaː
ماڵ	maːɫ
مریشک	mɾiːʃk
مزگەوت	məzgau̯t
مشک	məʃk
ملوانکە	məlwaːŋka
من	mɪn
مناڵ	mnaːɫ
موگناتیس	mʊgnaːtiːs
مۆر	mɔːɾ
مۆم	mo̞ːm
مێشک	me̞ːʃk
مێژوو	me̞ːʒuː
مەریخ	maɾiːx
مەل	mal
مەڵاشوو	maɫaːʃuː
نۆ	noː
نۆزدە	noːzda
نیشتمان	niːʃtmaːn
نەتەوە	natawa
نەخۆشخانە	naxo̞ːʃxaːna
نەچە	natʃa
واڵایی	waːɫaːjiː
وتن	wɪtɪn
وشتر	wəʃtəɾ
وشک	wəʃk
پارێزگای	paːɾe̞ːzgaːi̯
پانزە	paːnza
پرتەقاڵی	pəɾtaqaːɫiː
پووک	puːk
پژمە	pəʒma
پۆڵا	po̞ːɫaː
پیت	piːt
پێغەمەر	peːɣamaɾ
پێنج	peːndʒ
پێنووس	pe̞ːnuːs
پێڵاو	pe̞ːɫaːu̯
پەتاتە	pataːta
پەنجەرە	pandʒaɾa
پەپوولە	papuːla
پەیژە	pɛi̯ʒa
چارەنووس	tʃaːɾanuːs
چرۆ	tʃɾo̞ː
چوار	tʃəwaːr
چواردە	tʃəwaːrda
چۆل	tʃo̞ːl
چۆنی	tʃoːni
چۆڵ	tʃo̞ːɫ
چەناگە	tʃanaːga
چەک	tʃak
ڕ	ɽ
ڕ	ɽêyqellew
ڕووبار	ruːbaːɾ
ڕوەک	rwak
ڕۆخ	ro̞ːx
ڕۆژ	ro̞ːʒ
ڕۆژانە	ro̞ːʒaːna
ڕۆژنامە	ro̞ːʒnaːma
ڕێز	rrêz
ڕێوی	re̞ːwiː
ڕەزم	razm
ڕەزمگە	razəmga
ڕەش	raʃ
ڕەقە	raqa
ڕەگ	rag
ژان	ʒaːn
ژمارە	ʒmaːɾa
ژن	ʒən
ژوان	ʒwaːn
ژەم	ʒam
ژەنگ	ʒaŋg
ڤایرۆس	vaːi̯ɾo̞ːs
کاروان	kaːɾwaːn
کارۆ	kaːɾo̞ː
کایە	kaːja
کرم	kərəm
کلیل	kliːl
کوارگ	kwaːɾg
کوردستان	kʊɾdəstaːn
کون	kʊn
کۆیلە	koːi̯la
کێو	ceːu̯
کەنداو	kandaːu̯
کەڵەباب	kaɫabaːb
کەڵەشێر	kaɫaʃeːɾ
گا	gaː
گرد	gəɾd
گوارە	gwaːɾa
گوتن	gutɪn
گورگ	gʊɾg
گوو	guː
گوێ	ɟøe̯
گڕکان	gərkaːn
گڵ	gəɫ
گڵکۆ	gəɫko̞ː
گۆ	go̞ː
گیسک	ɟiːsk
گەردوون	gaɾduːn
گەمێ	game̞ː
گەنج	gandʒ
گەنم	ganəm
گەورە	gewre
گەڵا	gaɫaː
ڵ	ɫ
ھیوا	hiːwaː
ھێز	he̞ːz
ھەرمێ	haɾme̞ː
ھەسان	hasaːn
ھەشت	haʃt
ھەموو	hamuː
ھەنار	hanaːɾ
ھەوا	hawaː
ھەولێر	hau̯le̞ːɾ
ھەوێن	hawe̞ːn
ھەژدە	haʒda
ھەڵم	haɫm
ھەڵۆ	haɫo̞ː
ۆ	oː
یانزە	jaːnza
یەک	jɛk
ێ	eː
